tahun,provinsi,komoditas,supply_ton,demand_ton,gap_ton,mapping_type,data_quality,forecast_supported,optimizer_mode,supply_index,demand_index
2022,Jambi,Beras Medium I,160667.47,332004.85,-171337.37999999998,exact,high,True,full,0.026652627534888864,0.05809680679619617
2022,Jawa Barat,Beras Medium I,5447806.31,4806877.3,640929.0099999998,exact,high,True,full,0.9038517920424611,0.9465853834956051
2022,Jawa Tengah,Beras Medium I,5380509.51,3444874.39,1935635.1199999996,exact,high,True,full,0.8926864531851912,0.6761588986096833
2022,Jawa Timur,Beras Medium I,5500801.88,3716485.19,1784316.69,exact,high,True,full,0.912644386890718,0.730087383902753
2022,Kalimantan Barat,Beras Medium I,432586.93,539121.0,-106534.07,exact,high,True,full,0.07176729736741973,0.09921984111306509
2022,Kalimantan Selatan,Beras Medium I,484832.09,404660.88,80171.21000000002,exact,high,True,full,0.08043539027900373,0.07252270460772588
2022,Kalimantan Tengah,Beras Medium I,204291.82,260886.5,-56594.67999999999,exact,high,True,full,0.03389042562005999,0.04397621625987588
2022,Kalimantan Timur,Beras Medium I,139266.1,476690.92000000004,-337424.82000000007,exact,high,True,full,0.023101885923700643,0.08682431173380195
2022,Kalimantan Utara,Beras Medium I,18101.49,62499.96,-44398.47,exact,high,True,full,0.0029992372367057215,0.004586451181561669
2022,Kepulauan Bangka Belitung,Beras Medium I,36408.55,132128.16,-95719.61,exact,high,True,full,0.006036596046937004,0.018411171552338224
2022,Kepulauan Riau,Beras Medium I,290.07,180842.95,-180552.88,exact,high,True,full,4.411099252835741e-05,0.028083521974596765
2022,Lampung,Beras Medium I,1545296.21,858013.2899999999,687282.92,exact,high,True,full,0.2563789900605177,0.16253609426403814
2022,Maluku,Beras Medium I,51857.42,170062.78,-118205.36,exact,high,True,full,0.008599747170198615,0.02594311283290655
2022,Maluku Utara,Beras Medium I,13702.55,118696.32,-104993.77,exact,high,True,full,0.0022694008148728987,0.01574427176080245
2022,Nusa Tenggara Barat,Beras Medium I,827524.88,680854.68,146670.19999999995,exact,high,True,full,0.1372921966099623,0.12736114726662248
2022,Nusa Tenggara Timur,Beras Medium I,442841.89,641448.42,-198606.53000000003,exact,high,True,full,0.0734687170986365,0.1195370109919792
2022,Papua,Beras Medium I,110739.23,63771.84,46967.39,exact,high,True,full,0.018368939184965835,0.0048389837092614124
