No,Kode Wilayah,Kabupaten_Kota,Provinsi,Tahun,Konsumsi_Energi 
309,5318,Kabupaten Sumba Barat Daya,Nusa Tenggara Timur,2021,2041
310,5316,Kabupaten Nagekeo,Nusa Tenggara Timur,2021,1984
311,5319,Kabupaten Manggarai Timur,Nusa Tenggara Timur,2021,2234
312,5320,Kabupaten Sabu Raijua,Nusa Tenggara Timur,2021,2172
313,5321,Kabupaten Malaka,Nusa Tenggara Timur,2021,1847
314,5371,Kota Kupang,Nusa Tenggara Timur,2021,2091
315,6101,Kabupaten Sambas,Kalimantan Barat,2021,2064
316,6107,Kabupaten Bengkayang,Kalimantan Barat,2021,1962
317,6108,Kabupaten Landak,Kalimantan Barat,2021,2039
318,6102,Kabupaten Mempawah,Kalimantan Barat,2021,1837
319,6103,Kabupaten Sanggau,Kalimantan Barat,2021,1923
320,6104,Kabupaten Ketapang,Kalimantan Barat,2021,1927
321,6105,Kabupaten Sintang,Kalimantan Barat,2021,1836
322,6106,Kabupaten Kapuas Hulu,Kalimantan Barat,2021,1886
323,6109,Kabupaten Sekadau,Kalimantan Barat,2021,1952
324,6110,Kabupaten Melawi,Kalimantan Barat,2021,1995
325,6111,Kabupaten Kayong Utara,Kalimantan Barat,2021,2069
326,6112,Kabupaten Kubu Raya,Kalimantan Barat,2021,1872
327,6171,Kota Pontianak,Kalimantan Barat,2021,1906
328,6172,Kota Singkawang,Kalimantan Barat,2021,2073
329,6201,Kabupaten Kotawaringin Barat,Kalimantan Tengah,2021,2357
330,6202,Kabupaten Kotawaringin Timur,Kalimantan Tengah,2021,2217
331,6203,Kabupaten Kapuas,Kalimantan Tengah,2021,2419
332,6204,Kabupaten Barito Selatan,Kalimantan Tengah,2021,2317
333,6205,Kabupaten Barito Utara,Kalimantan Tengah,2021,2097
334,6208,Kabupaten Sukamara,Kalimantan Tengah,2021,2247
335,6209,Kabupaten Lamandau,Kalimantan Tengah,2021,2340
336,6207,Kabupaten Seruyan,Kalimantan Tengah,2021,2229
337,6206,Kabupaten Katingan,Kalimantan Tengah,2021,2147
338,6211,Kabupaten Pulang Pisau,Kalimantan Tengah,2021,2302
339,6210,Kabupaten Gunung Mas,Kalimantan Tengah,2021,2089
340,6213,Kabupaten Barito Timur,Kalimantan Tengah,2021,2245
341,6212,Kabupaten Murung Raya,Kalimantan Tengah,2021,1940
342,6271,Kota Palangka Raya,Kalimantan Tengah,2021,2034
343,6301,Kabupaten Tanah Laut,Kalimantan Selatan,2021,2238
344,6302,Kabupaten Kota Baru,Kalimantan Selatan,2021,2161
345,6303,Kabupaten Banjar,Kalimantan Selatan,2021,2483
346,6304,Kabupaten Barito Kuala,Kalimantan Selatan,2021,2442
347,6305,Kabupaten Tapin,Kalimantan Selatan,2021,2438
348,6306,Hulu Sungai Selatan,Kalimantan Selatan,2021,2372
349,6307,Hulu Sungai Tengah,Kalimantan Selatan,2021,2303
350,6308,Hulu Sungai Utara,Kalimantan Selatan,2021,2213
351,6309,Kabupaten Tabalong,Kalimantan Selatan,2021,2278
352,6310,Kabupaten Tanah Bumbu,Kalimantan Selatan,2021,2228
353,6311,Kabupaten Balangan,Kalimantan Selatan,2021,2451
354,6371,Kota Banjarmasin,Kalimantan Selatan,2021,2200
355,6372,Kota Banjar Baru,Kalimantan Selatan,2021,2156
356,6401,Kabupaten Paser,Kalimantan Timur,2021,2112
357,6407,Kabupaten Kutai Barat,Kalimantan Timur,2021,1990
358,6402,Kabupaten Kutai Kertanegara,Kalimantan Timur,2021,1933
359,6408,Kabupaten Kutai Timur,Kalimantan Timur,2021,2132
360,6403,Kabupaten Berau,Kalimantan Timur,2021,2096
361,6409,Kabupaten Penajam Paser Utara,Kalimantan Timur,2021,2135
362,6411,Kabupaten Mahakam Ulu,Kalimantan Timur,2021,2029
363,6471,Kota Balikpapan,Kalimantan Timur,2021,1991
364,6472,Kota Samarinda,Kalimantan Timur,2021,1822
365,6474,Kota Bontang,Kalimantan Timur,2021,2097
366,6502,Kabupaten Malinau,Kalimantan Utara,2021,1841
367,6501,Kabupaten Bulungan,Kalimantan Utara,2021,2061
368,6504,Kabupaten Tana Tidung,Kalimantan Utara,2021,1978
369,6503,Kabupaten Nunukan,Kalimantan Utara,2021,2055
370,6571,Kota Tarakan,Kalimantan Utara,2021,2046
371,7101,Kabupaten Bolaang Mongondow,Sulawesi Utara,2021,2131
372,7102,Kabupaten Minahasa,Sulawesi Utara,2021,2126
373,7103,Kabupaten Kepulauan Sangihe,Sulawesi Utara,2021,1986
374,7104,Kabupaten Kepulauan Talaud,Sulawesi Utara,2021,1924
375,7105,Kabupaten Minahasa Selatan,Sulawesi Utara,2021,2339
376,7106,Kabupaten Minahasa Utara,Sulawesi Utara,2021,2212
377,7108,Kabupaten Bolaang Mongondow Utara,Sulawesi Utara,2021,2086
378,7109,Kabupaten Kep. Siau Tagulandang Biaro,Sulawesi Utara,2021,1787
379,7107,Kabupaten Minahasa Tenggara,Sulawesi Utara,2021,2249
380,7111,Kabupaten Bolaang Mongondow Selatan,Sulawesi Utara,2021,2055
381,7110,Kabupaten Bolaang Mongondow Timur,Sulawesi Utara,2021,2149
382,7171,Kota Manado,Sulawesi Utara,2021,1965
383,7172,Kota Bitung,Sulawesi Utara,2021,2191
384,7173,Kota Tomohon,Sulawesi Utara,2021,2218
385,7174,Kota Kotamobago,Sulawesi Utara,2021,2067
386,7207,Kabupaten Banggai Kepulauan,Sulawesi Tengah,2021,1960
387,7201,Kabupaten Banggai,Sulawesi Tengah,2021,1915
388,7206,Kabupaten Morowali,Sulawesi Tengah,2021,2153
389,7202,Kabupaten Poso,Sulawesi Tengah,2021,2204
390,7203,Kabupaten Donggala,Sulawesi Tengah,2021,2059
391,7204,Kabupaten Toli-Toli,Sulawesi Tengah,2021,1781
392,7205,Kabupaten Buol,Sulawesi Tengah,2021,1834
393,7208,Kabupaten Parigi Moutong,Sulawesi Tengah,2021,1958
394,7209,Kabupaten Tojo Una-Una,Sulawesi Tengah,2021,1850
395,7210,Kabupaten Sigi,Sulawesi Tengah,2021,2100
396,7211,Kabupaten Banggai Laut,Sulawesi Tengah,2021,2082
397,7212,Kabupaten Morowali Utara,Sulawesi Tengah,2021,2380
398,7271,Kota Palu,Sulawesi Tengah,2021,2042
399,7301,Kabupaten Selayar,Sulawesi Selatan,2021,2186
400,7302,Kabupaten Bulukumba,Sulawesi Selatan,2021,2183
401,7303,Kabupaten Bantaeng,Sulawesi Selatan,2021,2118
402,7304,Kabupaten Jeneponto,Sulawesi Selatan,2021,2280
403,7305,Kabupaten Takalar,Sulawesi Selatan,2021,2240
404,7306,Kabupaten Gowa,Sulawesi Selatan,2021,2110
405,7307,Kabupaten Sinjai,Sulawesi Selatan,2021,2369
406,7309,Kabupaten Maros,Sulawesi Selatan,2021,2022
407,7310,Kabupaten Pangkajene dan Kepulauan,Sulawesi Selatan,2021,2312
408,7311,Kabupaten Barru,Sulawesi Selatan,2021,2140
409,7308,Kabupaten Bone,Sulawesi Selatan,2021,2099
410,7312,Kabupaten Soppeng,Sulawesi Selatan,2021,2011
411,7313,Kabupaten Wajo,Sulawesi Selatan,2021,2186
412,7314,Kabupaten Sidenreng Rappang,Sulawesi Selatan,2021,2344
413,7315,Kabupaten Pinrang,Sulawesi Selatan,2021,1935
414,7316,Kabupaten Enrekang,Sulawesi Selatan,2021,2070
415,7317,Kabupaten Luwu,Sulawesi Selatan,2021,2113
416,7318,Kabupaten Tana Toraja,Sulawesi Selatan,2021,2012
417,7322,Kabupaten Luwu Utara,Sulawesi Selatan,2021,2128
418,7324,Kabupaten Luwu Timur,Sulawesi Selatan,2021,2170
419,7326,Kabupaten Toraja Utara,Sulawesi Selatan,2021,2136
420,7371,Kota Makasar,Sulawesi Selatan,2021,2145
421,7372,Kota Pare-Pare,Sulawesi Selatan,2021,2233
422,7373,Kota Palopo,Sulawesi Selatan,2021,1986
423,7404,Kabupaten Buton,Sulawesi Tenggara,2021,1974
424,7403,Kabupaten Muna,Sulawesi Tenggara,2021,1995
425,7402,Kabupaten Konawe,Sulawesi Tenggara,2021,1929
426,7401,Kabupaten Kolaka,Sulawesi Tenggara,2021,2243
