No,Kelompok Bahan Pangan,Komoditas,konsumsi_pangan,Satuan,Tahun
160,Pangan Hewani,Daging Ruminansia,3.9,kg/kap/tahun,2022
161,Pangan Hewani,Daging Unggas,8.9,kg/kap/tahun,2022
162,Pangan Hewani,Telur,7.6,kg/kap/tahun,2022
163,Pangan Hewani,Susu,2.7,kg/kap/tahun,2022
164,Pangan Hewani,Ikan,23,kg/kap/tahun,2022
165,Minyak dan Lemak,Minyak dan Lemak,10.2,kg/kap/tahun,2022
166,Minyak dan Lemak,Minyak Kelapa,0.4,kg/kap/tahun,2022
167,Minyak dan Lemak,Minyak Sawit,9.5,kg/kap/tahun,2022
168,Minyak dan Lemak,Minyak Lainnya,0.3,kg/kap/tahun,2022
169,Buah/biji berminyak,Buah/biji berminyak,1.3,kg/kap/tahun,2022
170,Buah/biji berminyak,Kelapa,1,kg/kap/tahun,2022
171,Buah/biji berminyak,Kemiri,0.3,kg/kap/tahun,2022
172,Kacang-kacangan,Kacang-kacangan,10.2,kg/kap/tahun,2022
173,Kacang-kacangan,Kedelai,9.3,kg/kap/tahun,2022
174,Kacang-kacangan,Kacang Tanah,0.3,kg/kap/tahun,2022
175,Kacang-kacangan,Kacang Hijau,0.4,kg/kap/tahun,2022
176,Kacang-kacangan,Kacang Lain,0.2,kg/kap/tahun,2022
177,Gula,Gula,7.2,kg/kap/tahun,2022
178,Gula,Gula Pasir,6.5,kg/kap/tahun,2022
179,Gula,Gula Merah,0.7,kg/kap/tahun,2022
180,Sayuran dan buah,Sayuran dan buah,86.7,kg/kap/tahun,2022
181,Sayuran dan buah,Sayur,55.6,kg/kap/tahun,2022
182,Sayuran dan buah,Buah,31.1,kg/kap/tahun,2022
183,Lain-lain,Lain-lain,28.8,kg/kap/tahun,2022
184,Lain-lain,Minuman,25.2,kg/kap/tahun,2022
185,Lain-lain,Bumbu-Bumbuan,3.6,kg/kap/tahun,2022
186,Padi-padian,Padi-padian,112.1,kg/kap/tahun,2023
187,Padi-padian,Beras,93.8,kg/kap/tahun,2023
188,Padi-padian,Jagung,1.4,kg/kap/tahun,2023
189,Padi-padian,Terigu,16.9,kg/kap/tahun,2023
190,Umbi-umbian,Umbi-umbian,17.7,kg/kap/tahun,2023
191,Umbi-umbian,Singkong,10,kg/kap/tahun,2023
192,Umbi-umbian,Ubi Jalar,3.6,kg/kap/tahun,2023
193,Umbi-umbian,Kentang,2.9,kg/kap/tahun,2023
194,Umbi-umbian,Sagu,0.3,kg/kap/tahun,2023
