No,Kode Wilayah,Kabupaten_Kota,Provinsi,Tahun,%AKP
284,5202,Kabupaten Lombok Tengah,Nusa Tenggara Barat,2021,206.4
285,5203,Kabupaten Lombok Timur,Nusa Tenggara Barat,2021,240.9
286,5204,Kabupaten Sumbawa,Nusa Tenggara Barat,2021,185
287,5205,Kabupaten Dompu,Nusa Tenggara Barat,2021,182.4
288,5206,Kabupaten Bima,Nusa Tenggara Barat,2021,178
289,5207,Kabupaten Sumbawa Barat,Nusa Tenggara Barat,2021,197
290,5208,Kabupaten Lombok Utara,Nusa Tenggara Barat,2021,217
291,5271,Kota Mataram,Nusa Tenggara Barat,2021,206.9
292,5272,Kota Bima,Nusa Tenggara Barat,2021,164.2
293,5312,Kabupaten Sumba Barat,Nusa Tenggara Timur,2021,160.7
294,5311,Kabupaten Sumba Timur,Nusa Tenggara Timur,2021,164.9
295,5301,Kabupaten Kupang,Nusa Tenggara Timur,2021,155.9
296,5302,Kabupaten Timor Tengah Selatan,Nusa Tenggara Timur,2021,155.6
297,5303,Kabupaten Timor Tengah Utara,Nusa Tenggara Timur,2021,162.5
298,5304,Kabupaten Belu,Nusa Tenggara Timur,2021,159.6
299,5305,Kabupaten Alor,Nusa Tenggara Timur,2021,149.6
300,5313,Kabupaten Lembata,Nusa Tenggara Timur,2021,158
301,5306,Kabupaten Flores Timur,Nusa Tenggara Timur,2021,176.7
302,5307,Kabupaten Sikka,Nusa Tenggara Timur,2021,146.4
303,5308,Kabupaten Ende,Nusa Tenggara Timur,2021,184.8
304,5309,Kabupaten Ngada,Nusa Tenggara Timur,2021,168.4
305,5310,Kabupaten Manggarai,Nusa Tenggara Timur,2021,181.5
306,5314,Kabupaten Rote Ndao,Nusa Tenggara Timur,2021,131.9
307,5315,Kabupaten Manggarai Barat,Nusa Tenggara Timur,2021,167.6
308,5317,Kabupaten Sumba Tengah,Nusa Tenggara Timur,2021,154.8
309,5318,Kabupaten Sumba Barat Daya,Nusa Tenggara Timur,2021,158.4
310,5316,Kabupaten Nagekeo,Nusa Tenggara Timur,2021,148.3
311,5319,Kabupaten Manggarai Timur,Nusa Tenggara Timur,2021,185.4
312,5320,Kabupaten Sabu Raijua,Nusa Tenggara Timur,2021,175.1
313,5321,Kabupaten Malaka,Nusa Tenggara Timur,2021,170.5
314,5371,Kota Kupang,Nusa Tenggara Timur,2021,147.7
315,6101,Kabupaten Sambas,Kalimantan Barat,2021,172.5
316,6107,Kabupaten Bengkayang,Kalimantan Barat,2021,172.9
317,6108,Kabupaten Landak,Kalimantan Barat,2021,181.6
318,6102,Kabupaten Mempawah,Kalimantan Barat,2021,162.8
319,6103,Kabupaten Sanggau,Kalimantan Barat,2021,140.1
320,6104,Kabupaten Ketapang,Kalimantan Barat,2021,155.2
321,6105,Kabupaten Sintang,Kalimantan Barat,2021,158.7
