No,Kode Wilayah,Kabupaten_Kota,Provinsi,Tahun,Skor_PPH
282,5171,Kota Denpasar,Bali,2021,83.8
283,5201,Kabupaten Lombok Barat,Nusa Tenggara Barat,2021,89.1
284,5202,Kabupaten Lombok Tengah,Nusa Tenggara Barat,2021,93.7
285,5203,Kabupaten Lombok Timur,Nusa Tenggara Barat,2021,96.9
286,5204,Kabupaten Sumbawa,Nusa Tenggara Barat,2021,81.9
287,5205,Kabupaten Dompu,Nusa Tenggara Barat,2021,82.6
288,5206,Kabupaten Bima,Nusa Tenggara Barat,2021,74.7
289,5207,Kabupaten Sumbawa Barat,Nusa Tenggara Barat,2021,91.4
290,5208,Kabupaten Lombok Utara,Nusa Tenggara Barat,2021,93.4
291,5271,Kota Mataram,Nusa Tenggara Barat,2021,94.4
292,5272,Kota Bima,Nusa Tenggara Barat,2021,82.6
293,5312,Kabupaten Sumba Barat,Nusa Tenggara Timur,2021,66.9
294,5311,Kabupaten Sumba Timur,Nusa Tenggara Timur,2021,63.4
295,5301,Kabupaten Kupang,Nusa Tenggara Timur,2021,62.6
296,5302,Kabupaten Timor Tengah Selatan,Nusa Tenggara Timur,2021,75.2
297,5303,Kabupaten Timor Tengah Utara,Nusa Tenggara Timur,2021,67.4
298,5304,Kabupaten Belu,Nusa Tenggara Timur,2021,67.4
299,5305,Kabupaten Alor,Nusa Tenggara Timur,2021,70.2
300,5313,Kabupaten Lembata,Nusa Tenggara Timur,2021,75.4
301,5306,Kabupaten Flores Timur,Nusa Tenggara Timur,2021,66.9
302,5307,Kabupaten Sikka,Nusa Tenggara Timur,2021,65.2
303,5308,Kabupaten Ende,Nusa Tenggara Timur,2021,78.6
304,5309,Kabupaten Ngada,Nusa Tenggara Timur,2021,82
305,5310,Kabupaten Manggarai,Nusa Tenggara Timur,2021,85.1
306,5314,Kabupaten Rote Ndao,Nusa Tenggara Timur,2021,61.3
307,5315,Kabupaten Manggarai Barat,Nusa Tenggara Timur,2021,79.7
308,5317,Kabupaten Sumba Tengah,Nusa Tenggara Timur,2021,65.6
309,5318,Kabupaten Sumba Barat Daya,Nusa Tenggara Timur,2021,73.6
310,5316,Kabupaten Nagekeo,Nusa Tenggara Timur,2021,84.7
311,5319,Kabupaten Manggarai Timur,Nusa Tenggara Timur,2021,73.9
312,5320,Kabupaten Sabu Raijua,Nusa Tenggara Timur,2021,79.4
313,5321,Kabupaten Malaka,Nusa Tenggara Timur,2021,66.7
314,5371,Kota Kupang,Nusa Tenggara Timur,2021,82.7
315,6101,Kabupaten Sambas,Kalimantan Barat,2021,73.7
316,6107,Kabupaten Bengkayang,Kalimantan Barat,2021,77.2
317,6108,Kabupaten Landak,Kalimantan Barat,2021,75.6
318,6102,Kabupaten Mempawah,Kalimantan Barat,2021,74
319,6103,Kabupaten Sanggau,Kalimantan Barat,2021,78
320,6104,Kabupaten Ketapang,Kalimantan Barat,2021,80.7
321,6105,Kabupaten Sintang,Kalimantan Barat,2021,73.5
322,6106,Kabupaten Kapuas Hulu,Kalimantan Barat,2021,68.1
323,6109,Kabupaten Sekadau,Kalimantan Barat,2021,74.3
324,6110,Kabupaten Melawi,Kalimantan Barat,2021,73.3
325,6111,Kabupaten Kayong Utara,Kalimantan Barat,2021,83.1
326,6112,Kabupaten Kubu Raya,Kalimantan Barat,2021,72.2
327,6171,Kota Pontianak,Kalimantan Barat,2021,77.6
328,6172,Kota Singkawang,Kalimantan Barat,2021,81.6
329,6201,Kabupaten Kotawaringin Barat,Kalimantan Tengah,2021,91.1
330,6202,Kabupaten Kotawaringin Timur,Kalimantan Tengah,2021,86.4
331,6203,Kabupaten Kapuas,Kalimantan Tengah,2021,93
332,6204,Kabupaten Barito Selatan,Kalimantan Tengah,2021,81.4
333,6205,Kabupaten Barito Utara,Kalimantan Tengah,2021,80.7
334,6208,Kabupaten Sukamara,Kalimantan Tengah,2021,84.8
335,6209,Kabupaten Lamandau,Kalimantan Tengah,2021,91.8
336,6207,Kabupaten Seruyan,Kalimantan Tengah,2021,80.3
337,6206,Kabupaten Katingan,Kalimantan Tengah,2021,77.4
