No,Kode Wilayah,Kabupaten_Kota,Provinsi,Tahun,%AKE
303,5308,Kabupaten Ende,Nusa Tenggara Timur,2021,103.6
304,5309,Kabupaten Ngada,Nusa Tenggara Timur,2021,105.1
305,5310,Kabupaten Manggarai,Nusa Tenggara Timur,2021,107.4
306,5314,Kabupaten Rote Ndao,Nusa Tenggara Timur,2021,89.3
307,5315,Kabupaten Manggarai Barat,Nusa Tenggara Timur,2021,102.1
308,5317,Kabupaten Sumba Tengah,Nusa Tenggara Timur,2021,87.7
309,5318,Kabupaten Sumba Barat Daya,Nusa Tenggara Timur,2021,97.2
310,5316,Kabupaten Nagekeo,Nusa Tenggara Timur,2021,94.5
311,5319,Kabupaten Manggarai Timur,Nusa Tenggara Timur,2021,106.4
312,5320,Kabupaten Sabu Raijua,Nusa Tenggara Timur,2021,103.4
313,5321,Kabupaten Malaka,Nusa Tenggara Timur,2021,88
314,5371,Kota Kupang,Nusa Tenggara Timur,2021,99.6
315,6101,Kabupaten Sambas,Kalimantan Barat,2021,98.3
316,6107,Kabupaten Bengkayang,Kalimantan Barat,2021,93.4
317,6108,Kabupaten Landak,Kalimantan Barat,2021,97.1
318,6102,Kabupaten Mempawah,Kalimantan Barat,2021,87.5
319,6103,Kabupaten Sanggau,Kalimantan Barat,2021,91.6
320,6104,Kabupaten Ketapang,Kalimantan Barat,2021,91.8
321,6105,Kabupaten Sintang,Kalimantan Barat,2021,87.4
322,6106,Kabupaten Kapuas Hulu,Kalimantan Barat,2021,89.8
323,6109,Kabupaten Sekadau,Kalimantan Barat,2021,93
324,6110,Kabupaten Melawi,Kalimantan Barat,2021,95
325,6111,Kabupaten Kayong Utara,Kalimantan Barat,2021,98.5
326,6112,Kabupaten Kubu Raya,Kalimantan Barat,2021,89.1
327,6171,Kota Pontianak,Kalimantan Barat,2021,90.8
328,6172,Kota Singkawang,Kalimantan Barat,2021,98.7
329,6201,Kabupaten Kotawaringin Barat,Kalimantan Tengah,2021,112.2
330,6202,Kabupaten Kotawaringin Timur,Kalimantan Tengah,2021,105.6
331,6203,Kabupaten Kapuas,Kalimantan Tengah,2021,115.2
332,6204,Kabupaten Barito Selatan,Kalimantan Tengah,2021,110.4
333,6205,Kabupaten Barito Utara,Kalimantan Tengah,2021,99.9
334,6208,Kabupaten Sukamara,Kalimantan Tengah,2021,107
335,6209,Kabupaten Lamandau,Kalimantan Tengah,2021,111.4
336,6207,Kabupaten Seruyan,Kalimantan Tengah,2021,106.1
