No,Kode Wilayah,Kabupaten_Kota,Provinsi,Tahun,Konsumsi_Protein
187,3279,Kota Banjar,Jawa Barat,2021,68.5
188,3301,Kabupaten Cilacap,Jawa Tengah,2021,52.9
189,3302,Kabupaten Banyumas,Jawa Tengah,2021,63.1
190,3303,Kabupaten  Purbalingga,Jawa Tengah,2021,51.3
191,3304,Kabupaten Banjarnegara,Jawa Tengah,2021,63.6
192,3305,Kabupaten Kebumen,Jawa Tengah,2021,55.4
193,3306,Kabupaten Purworejo,Jawa Tengah,2021,57.9
194,3307,Kabupaten Wonosobo,Jawa Tengah,2021,57
195,3308,Kabupaten Magelang,Jawa Tengah,2021,55.3
196,3309,Kabupaten Boyolali,Jawa Tengah,2021,54.1
197,3310,Kabupaten Klaten,Jawa Tengah,2021,56.4
198,3311,Kabupaten Sukoharjo,Jawa Tengah,2021,56.2
199,3312,Kabupaten Wonogiri,Jawa Tengah,2021,56.1
200,3313,Kabupaten Karanganyar,Jawa Tengah,2021,55.1
201,3314,Kabupaten Sragen,Jawa Tengah,2021,59.1
202,3315,Kabupaten Grobogan,Jawa Tengah,2021,58.1
203,3316,Kabupaten Blora,Jawa Tengah,2021,60.1
204,3317,Kabupaten Rembang,Jawa Tengah,2021,64.1
205,3318,Kabupaten Pati,Jawa Tengah,2021,64.3
206,3319,Kabupaten Kudus,Jawa Tengah,2021,60.3
207,3320,Kabupaten Jepara,Jawa Tengah,2021,58
208,3321,Kabupaten Demak,Jawa Tengah,2021,65.6
209,3322,Kabupaten Semarang,Jawa Tengah,2021,57
210,3323,Kabupaten Temanggung,Jawa Tengah,2021,51.1
211,3324,Kabupaten Kendal,Jawa Tengah,2021,65.1
212,3325,Kabupaten Batang ,Jawa Tengah,2021,68.4
213,3326,Kabupaten Pekalongan,Jawa Tengah,2021,66.4
214,3327,Kabupaten Pemalang,Jawa Tengah,2021,72.4
215,3328,Kabupaten Tegal,Jawa Tengah,2021,66.7
216,3329,Kabupaten Brebes,Jawa Tengah,2021,62.9
217,3371,Kota Magelang,Jawa Tengah,2021,55.3
218,3372,Kota Surakarta,Jawa Tengah,2021,63.4
219,3373,Kota Salatiga,Jawa Tengah,2021,64.9
